Name,Ingredients,Category
Product 11,"Red 6 Lake (CI 15850), Hexyl Laurate, Cinnamyl Alcohol, Hydrogenated Polydecene, Benzophenone-4, Butyl Methoxydibenzoylmethane - a chemical UV filter, Tocopheryl Acetate (Vitamin E), Trehalose, Mexoryl SX - a chemical UV filter, Ascorbic Acid (Vitamin C), Cetyl PEG/PPG-10/1 Dimethicone",toxic
Product 12,"Sodium Hyaluronate, Allantoin, Amodimethicone, Caprylic/Capric Triglyceride, Palmitic Acid, Polyquaternium-69, PVP (Polyvinylpyrrolidone), Hydroxycitronellal, Limonene, Dicaprylyl Ether, Xanthan Gum, Carmine (CI 75470), Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate",clean
Product 13,"Glyceryl Stearate, PEG-40 Hydrogenated Castor Oil, Red 40 Lake (CI 16035), Beeswax (Cera Alba), Titanium Dioxide - a physical (mineral) UV filter, Propylene Glycol Dicaprylate/Dicaprate, Isopropyl Palmitate, Hydrolyzed Rice Protein, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Dimethicone/Vinyl Dimethicone Crosspolymer, Jojoba Seed Oil (Simmondsia Chinensis), Uvinul T 150 - a chemical UV filter",toxic
Product 14,"Shea Butter (Butyrospermum Parkii), Palmitic Acid, Glycol Distearate, Silk Amino Acids, Lecithin, Ferric Ammonium Ferrocyanide, Tocopherol, Squalane, Linalool, Olive Fruit Oil (Olea Europaea), Microcrystalline Wax, Ceteareth-12, Diethylhexyl Carbonate, Iron Oxides, Cetyl Alcohol, Silica Dimethyl Silylate, Carnauba Wax (Copernicia Cerifera), Cetearyl Alcohol",clean
Product 15,"Cetyl PEG/PPG-10/1 Dimethicone, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Disodium Laureth Sulfosuccinate, Titanium Dioxide, Hydrolyzed Rice Protein, Carmine (CI 75470), Sunflower Seed Oil (Helianthus Annuus), Ultramarines (CI 77007), Hydrolyzed Silk, Benzyl Salicylate, Cocamide MEA",toxic
Product 16,"Octyldodecanol, Cocos Nucifera (Coconut) Oil, Octyldodecyl Stearoyl Stearate, Polyquaternium-10, Cetrimonium Chloride, Blue 1 Lake (CI 42090), Diethylhexyl Carbonate, Disodium Laureth Sulfosuccinate, Hydrolyzed Elastin, Jojoba Seed Oil (Simmondsia Chinensis), Behentrimonium Chloride, Cocamidopropyl Betaine, Quaternium-18, Alpha-Isomethyl Ionone",clean
Product 17,"Polysorbate 20, Jojoba Esters (as a scrubbing agent), Nitrocellulose, Cholesterol, Iron Oxides (CI 77491, CI 77492, CI 77499), Trimethylsiloxyamodimethicone, Linalool, Lauroyl Lysine, Cetyl Alcohol, Isopropyl Myristate, Olive Fruit Oil (Olea Europaea), Panthenyl Ethyl Ether, Guar Hydroxypropyltrimonium Chloride, Flavor, Trimethyl Pentanyl Diisobutyrate, Aluminum Powder, Sodium Lauryl Sulfate, Stearalkonium Hectorite, Propane, Benzophenone-3",toxic
Product 18,"Ethylhexyl Salicylate, Phytosphingosine, Butylene Glycol, Polyquaternium-4, Benzyl Salicylate, Palmitic Acid, Jojoba Esters, Propylene Glycol Dicaprylate/Dicaprate, Polyglyceryl-4 Isostearate, Stearyl Alcohol, Stearalkonium Bentonite, Ethyl Tosylamide",clean
Product 19,"Ceramide NP, Alumina, Polyvinyl Butyral, Kaolin, Isopropyl Myristate, Sweet Almond Oil, Octyldodecyl Stearoyl Stearate, Olive Fruit Oil (Olea Europaea), Sodium Lauryl Sulfate, Red 7 Lake (CI 15850), Mexoryl SX - a chemical UV filter, Caprylyl Glycol, Chamomilla Recutita (Matricaria) Flower Extract, Sorbitan Olivate, Alpha-Isomethyl Ionone, Isododecane, Calcium Sodium Borosilicate",clean
Product 20,"Polyquaternium-4, Keratin Amino Acids, Isododecane, Ascorbic Acid (Vitamin C), Phenoxyethanol, Ammonium Lauryl Sulfate, Avocado Oil, Lauroyl Lysine, Benzophenone-3, Shea Butter (Butyrospermum Parkii), Serine, Polyglyceryl-4 Isostearate, Butyrospermum Parkii (Shea Butter), PEG-8 Dimethicone, Jojoba Seed Oil (Simmondsia Chinensis), Tocopheryl Acetate (Vitamin E), PEG-10 Dimethicone, Propylene Glycol, Hydrolyzed Silk, Hydrolyzed Collagen",toxic
Product 21,"Behentrimonium Chloride, Butylene Glycol, Caprylic/Capric Triglyceride, Hexyl Laurate, Sodium Hyaluronate, Serine, Ascorbic Acid (Vitamin C), Yellow 5 Lake (CI 19140), Lauryl Glucoside, Hydrolyzed Collagen, PVP (Polyvinylpyrrolidone), Olive Fruit Oil (Olea Europaea), Cyclopentasiloxane, Hydrolyzed Jojoba Esters, Allantoin, Trideceth-6, Calcium Sodium Borosilicate, Benzyl Alcohol, Ferric Ferrocyanide (CI 77510)",clean
Product 22,"Jojoba Oil, Ethylhexylglycerin, Trimethylsiloxyamodimethicone, Tinosorb S - a chemical UV filter, Argania Spinosa Kernel Oil, Polysorbate 20, Coumarin, Hydrolyzed Jojoba Esters, Limonene, Titanium Dioxide - a physical (mineral) UV filter, Hydrolyzed Collagen, Trimethylsiloxysilicate",clean
Product 23,"Polymethyl Methacrylate, Persea Gratissima (Avocado) Oil, Linalool, Polyethylene Terephthalate, Paraffin, Caprylyl Glycol, Butyl Acetate, Water (Aqua), Candelilla Wax (Euphorbia Cerifera), Alumina, Magnesium Stearate, Sorbitan Sesquioleate, Palmitic Acid",toxic
Product 24,"Glyceryl Stearate, Isobutane, Water (Aqua), Calcium Pantothenate, Sorbitan Oleate, PVP (Polyvinylpyrrolidone), Zinc Stearate, Carnauba Wax (Copernicia Cerifera), Hydrolyzed Keratin, Isododecane, Blue 1 Lake (CI 42090), Microcrystalline Wax",clean
Product 25,"Hexyl Cinnamal, Octinoxate - a chemical UV filter, Cocamide MEA, Dicaprylyl Ether, Oxybenzone - a chemical UV filter, Cocos Nucifera (Coconut) Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Urea, Polyquaternium-37, Ethylhexyl Palmitate, Mica, Benzyl Benzoate",toxic
Product 26,"Stearyl Alcohol, Sodium Chloride, Cocos Nucifera (Coconut) Oil, Octocrylene, Aloe Barbadensis Leaf Juice, Hydrolyzed Keratin, Disodium EDTA, Calcium Sodium Borosilicate, Caprylyl Glycol, Hydrolyzed Elastin, Benzophenone-1, Nitrocellulose, Iron Oxides, Petrolatum, Ultramarines (CI 77007), Oxybenzone - a chemical UV filter, Alumina, Ascorbyl Palmitate (Vitamin C), Dimethiconol",toxic
Product 27,"Panthenyl Ethyl Ether, Hydrolyzed Collagen, Sodium Chloride, Polyquaternium-37, Ultramarines (CI 77007), Lavandula Angustifolia (Lavender) Oil, Ethyl Acetate, Benzyl Benzoate, Octyldodecanol, Propylene Glycol, Hydrolyzed Corn Protein, Bemotrizinol - a chemical UV filter, Cocoa Butter (Theobroma Cacao), C12-15 Alkyl Benzoate, Creatine",clean
Product 28,"Lecithin, Iron Oxides (CI 77499) - for black pigment, Stearic Acid, Lauryl Glucoside, Trehalose, PEG-7 Glyceryl Cocoate, Triethoxycaprylylsilane, Cholesterol, Paraffin, Cyclopentasiloxane, Panthenol (Provitamin B5), Phenoxyethanol, Ascorbyl Palmitate (Vitamin C), Citric Acid",toxic
Product 29,"Petrolatum, Sorbitan Isostearate, Ethylhexylglycerin, Red 27 Lake (CI 45410), Zinc Stearate, Acrylates Copolymer, Octocrylene - a chemical UV filter, Guar Hydroxypropyltrimonium Chloride, Synthetic Fluorphlogopite, Acacia Senegal Gum, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Hydrolyzed Corn Protein",toxic
Product 30,"Quaternium-18, Ethyl Tosylamide, Red 6 Lake (CI 15850), Isododecane, Aluminum Powder, Caprylic/Capric Triglyceride, Polyquaternium-11, Isobutyl Acetate, Calcium Aluminum Borosilicate, Ethylhexyl Methoxycinnamate - a chemical UV filter, Octocrylene, Carnauba Wax (Copernicia Cerifera), Polyquaternium-37, Chamomilla Recutita (Matricaria) Flower Extract, Stearic Acid",toxic
Product 31,"Prunus Amygdalus Dulcis (Sweet Almond) Oil, Castor Seed Oil (Ricinus Communis), Dicaprylyl Ether, Benzophenone-1, Microcrystalline Wax, Phenoxyethanol, Linalool, Hydrolyzed Jojoba Esters, PEG-7 Glyceryl Cocoate, Walnut Shell Powder (Juglans Regia), Paraffin, Ozokerite",toxic
Product 32,"Ceteareth-20, Polyquaternium-11, Cholesterol, Boron Nitride, Octyldodecyl Stearoyl Stearate, Hydroxyethylcellulose, Iron Oxides, Panthenol (Provitamin B5), Propane, Ethylhexylglycerin, Palmitic Acid, Hydrogenated Polyisobutene, Simmondsia Chinensis (Jojoba) Seed Oil, Silica, Citric Acid, Octinoxate - a chemical UV filter, Methacrylate Copolymer, Lauroyl Lysine, Sodium Cocoyl Isethionate, Cocamide DEA",clean
Product 33,"Boron Nitride, Trideceth-6, Palmitic Acid, Isopropyl Myristate, PEG-8 Dimethicone, Linalool, PVP (Polyvinylpyrrolidone), Limonene, Polyquaternium-10, Lanolin Oil, Uvinul A Plus - a chemical UV filter, Cetearyl Alcohol, Benzyl Alcohol",toxic
Product 34,"Ascorbyl Palmitate (Vitamin C), Hydrogenated Polyisobutene, Hydroxyethylcellulose, Glycerin, Propylene Carbonate, PEG-100 Stearate, Propylene Glycol, Tinosorb S - a chemical UV filter, Trimethylsiloxyamodimethicone, Carnauba Wax (Copernicia Cerifera), Butylene Glycol",toxic
Product 35,"Benzophenone-3, Lavandula Angustifolia (Lavender) Oil, Lecithin, Sorbitan Stearate, Isopropyl Palmitate, Hexyl Laurate, Paraffin, Polyquaternium-7, Lanolin Oil, Ethylhexyl Salicylate, C12-15 Alkyl Benzoate, Mica, Cocamide MEA, Ammonium Lauryl Sulfate, Polyquaternium-69, Chamomilla Recutita (Matricaria) Flower Extract, Hydrolyzed Keratin",toxic
Product 36,"Glycerin, Polysorbate 60, Homosalate - a chemical UV filter, Phytosphingosine, Polyglyceryl-2 Triisostearate, Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Aloe Barbadensis Leaf Extract, Ethyl Tosylamide, Hydrolyzed Jojoba Esters, Coumarin, Ceramide AP, Serine, Hydrolyzed Elastin, Sorbitan Sesquioleate, Glycidyl Methacrylate, Zinc Oxide - a physical (mineral) UV filter, Glycol Distearate",toxic
Product 37,"Propylene Glycol, Glycol Distearate, Cetearyl Alcohol, Red 7 Lake (CI 15850), Trideceth-6, Ethyl Tosylamide, Paraffin, Hydrolyzed Silk, Sodium Benzoate, Potassium Sorbate, Camphor, Sodium Laureth Sulfate, Triphenyl Phosphate (TPP), Jojoba Seed Oil (Simmondsia Chinensis), Sorbitan Oleate, Mexoryl SX - a chemical UV filter, C12-15 Alkyl Benzoate, Castor Seed Oil (Ricinus Communis)",toxic
Product 38,"Propane, Sodium Hyaluronate, Retinyl Palmitate (Vitamin A), Epoxy Resin, Lecithin, Bemotrizinol - a chemical UV filter, Bisabolol, Butylene Glycol, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Isostearyl Alcohol, Carmine (CI 75470), Isopropyl Palmitate, Butyrospermum Parkii (Shea Butter), Arginine",clean
Product 39,"Mexoryl SX - a chemical UV filter, Tocopheryl Acetate (Vitamin E), Polyglyceryl-2 Triisostearate, Nylon-12, Silk Amino Acids, Stearalkonium Hectorite, VP/VA Copolymer, Acacia Senegal Gum, Sorbitan Oleate, Octyldodecanol, Urea, Lauroyl Lysine, Isobutane, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetrimonium Chloride, Isopropyl Myristate, Sorbitan Stearate, Magnesium Stearate, Shea Butter (Butyrospermum Parkii)",clean
Product 40,"Octisalate - a chemical UV filter, Cocamide DEA, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Behentrimonium Chloride, PEG-100 Stearate, Panthenol (Provitamin B5), Polyquaternium-55, Stearic Acid, Ultramarines (CI 77007), Potassium Sorbate, Mexoryl XL - a chemical UV filter, Synthetic Fluorphlogopite, Methicone, Allantoin, Blue 1 Lake (CI 42090), Sodium Hyaluronate, Iron Oxides (CI 77499) - for black pigment, Silica",toxic
Product 41,"Methacrylate Copolymer, PEG-7 Glyceryl Cocoate, Alumina, Oxybenzone - a chemical UV filter, Glycerin, Apricot Seed Powder (Prunus Armeniaca), Isostearyl Alcohol, Castor Seed Oil (Ricinus Communis), Boron Nitride, Ceramide NP, Butyrospermum Parkii (Shea Butter), Carmine (CI 75470)",toxic
Product 42,"PVP (Polyvinylpyrrolidone), Cyclopentasiloxane, Linalool, Polyethylene (as a scrubbing agent), Jojoba Seed Oil (Simmondsia Chinensis), Lecithin, Hydrolyzed Wheat Protein, Boron Nitride, Isopropyl Palmitate, Sodium Hydroxide",clean
Product 43,"Cyclohexasiloxane, Ceteareth-20, Mexoryl XL - a chemical UV filter, PVP (Polyvinylpyrrolidone), Hydrolyzed Elastin, Ceteareth-12, Tosylamide/Formaldehyde Resin, Beeswax (Cera Alba), Benzyl Benzoate, Butylphenyl Methylpropional, Camphor, Octyldodecyl Stearoyl Stearate, Methacrylate Copolymer, Argania Spinosa Kernel Oil, Sunflower Seed Oil (Helianthus Annuus), Polyglyceryl-2 Triisostearate, Polymethyl Methacrylate, Ascorbic Acid (Vitamin C), Simmondsia Chinensis (Jojoba) Seed Oil",toxic
Product 44,"Xanthan Gum, Squalane, Red 7 Lake (CI 15850), Lauroyl Lysine, Caprylyl Glycol, Homosalate - a chemical UV filter, Butylene Glycol, Alumina, Titanium Dioxide, Dimethicone, Dicaprylyl Ether, Ethyl Acetate, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, PEG-12 Dimethicone, Aloe Barbadensis Leaf Juice, Silica Dimethyl Silylate, Lecithin, Silk Amino Acids, Ethylhexyl Methoxycinnamate, Hydrolyzed Keratin",toxic
Product 45,"Carbomer, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Ethylhexyl Methoxycinnamate - a chemical UV filter, Sweet Almond Oil, Blue 1 Lake (CI 42090), Walnut Shell Powder (Juglans Regia), Lecithin, Polyethylene Terephthalate, Xanthan Gum, Cyclopentasiloxane",toxic
Product 46,"Isobutyl Acetate, Propylene Glycol Dicaprylate/Dicaprate, Sodium Benzoate, Benzyl Alcohol, Caprylyl Glycol, Flavor, Arginine, Lauroyl Lysine, Ethylhexyl Methoxycinnamate, Caprylic/Capric Triglyceride, Ceteareth-12, Stearic Acid, Panthenol (Provitamin B5), Hydroxypropyltrimonium Hydrolyzed Wheat Protein",clean
Product 47,"Benzyl Benzoate, Polyvinylpyrrolidone (PVP), Polysorbate 60, Methicone, Carmine (CI 75470), Octocrylene, Dimethicone, Butyl Methoxydibenzoylmethane - a chemical UV filter, Ceteareth-20, Stearamidopropyl Dimethylamine, Avocado Oil, Cholesterol, Argania Spinosa Kernel Oil, Hydrolyzed Oat Protein, Alcohol Denat. (SD Alcohol 40), Sorbitan Stearate, Carnauba Wax (Copernicia Cerifera), Bemotrizinol - a chemical UV filter, Diethylhexyl Carbonate, Hydrolyzed Silk",toxic
Product 48,"Zinc Oxide - a physical (mineral) UV filter, Ethylhexyl Methoxycinnamate - a chemical UV filter, Dimethicone/Vinyl Dimethicone Crosspolymer, Ascorbic Acid (Vitamin C), Dimethicone, Amodimethicone, Kaolin, Polyvinylpyrrolidone (PVP), PEG-10 Dimethicone, Bemotrizinol - a chemical UV filter, BHT (Butylated Hydroxytoluene)",toxic
Product 49,"Tinosorb M - a chemical UV filter, Limonene, Bisabolol, Sodium Cocoyl Isethionate, Ethylhexyl Palmitate, Diethylhexyl Carbonate, Polysorbate 60, Alcohol Denat. (SD Alcohol 40), Apricot Seed Powder (Prunus Armeniaca), Panthenol (Provitamin B5), Octisalate - a chemical UV filter, Lanolin Oil, Polymethyl Methacrylate, Phytosphingosine, Potassium Sorbate, Cyclomethicone, Paraffin, Lecithin",clean
Product 50,"Ascorbic Acid (Vitamin C), Red 6 Lake (CI 15850), Ethylhexyl Salicylate, Olea Europaea (Olive) Fruit Oil, Polysorbate 60, Benzyl Benzoate, Butyl Acetate, Linalool, Isopropyl Myristate, Stearalkonium Hectorite, Red 27 Lake (CI 45410), Polyquaternium-11, Argania Spinosa Kernel Oil, Avocado Oil",clean
Product 51,"Silica, Triethoxycaprylylsilane, Polybutene, Butyl Methoxydibenzoylmethane - a chemical UV filter, Polyquaternium-4, Bisabolol, Blue 1 Lake (CI 42090), PEG-40 Hydrogenated Castor Oil, Ethyl Acetate, PVP (Polyvinylpyrrolidone)",toxic
Product 52,"Octinoxate - a chemical UV filter, Polysorbate 80, Cholesterol, Polysorbate 20, Urea, Sorbitan Stearate, Behentrimonium Chloride, Glycerin, Water (Aqua), Persea Gratissima (Avocado) Oil, Nylon-12, Propylene Glycol Dicaprylate/Dicaprate, Flavor, Ceramide NP, Wheat Amino Acids, Polysorbate 60, Ceramide EOP, Glycerin",clean
Product 53,"Cetyl PEG/PPG-10/1 Dimethicone, Palmitic Acid, Isostearyl Alcohol, Calcium Aluminum Borosilicate, Red 27 Lake (CI 45410), Benzyl Alcohol, Dicaprylyl Ether, Chamomilla Recutita (Matricaria) Flower Extract, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Benzophenone-1, Homosalate - a chemical UV filter, Xanthan Gum, Benzyl Salicylate, Propylene Carbonate, Cyclopentasiloxane, Nitrocellulose",toxic
Product 54,"Hydrolyzed Soy Protein, Polyglyceryl-2 Triisostearate, Propylene Carbonate, Hydrolyzed Silk, Panthenol (Provitamin B5), Benzyl Salicylate, Titanium Dioxide - a physical (mineral) UV filter, Carmine (CI 75470), Cocos Nucifera (Coconut) Oil, Red 40 Lake (CI 16035), Isopropyl Alcohol, Polyvinylpyrrolidone (PVP), Helianthus Annuus (Sunflower) Seed Oil, Walnut Shell Powder (Juglans Regia), Aluminum Powder, Palmitic Acid, Hydrolyzed Corn Protein, Yellow 5 Lake (CI 19140), Nitrocellulose, Arginine",clean
Product 55,"Red 27 Lake (CI 45410), Polyglyceryl-2 Triisostearate, Butane, Butyl Methoxydibenzoylmethane - a chemical UV filter, Benzophenone-1, Acrylates Copolymer, Hydrolyzed Jojoba Esters, Palmitic Acid, Polyquaternium-10, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Benzyl Salicylate, Oxybenzone - a chemical UV filter, Zinc Oxide",toxic
Product 56,"Benzyl Alcohol, Butyrospermum Parkii (Shea Butter), Candelilla Wax (Euphorbia Cerifera), Ceramide EOP, Disteardimonium Hectorite, Disodium Laureth Sulfosuccinate, Cetearyl Alcohol, Citric Acid, Stearic Acid, Polyethylene, Linalool",clean
Product 57,"Cetearyl Alcohol, BHT (Butylated Hydroxytoluene), Tinosorb M - a chemical UV filter, Polymethyl Methacrylate, Manganese Violet (CI 77742), Disodium Laureth Sulfosuccinate, Camphor, Oxybenzone - a chemical UV filter, Uvinul A Plus - a chemical UV filter, Candelilla Wax (Euphorbia Cerifera), Cocamide MEA, Helianthus Annuus (Sunflower) Seed Oil",toxic
Product 58,"Polyethylene, Hydrogenated Polyisobutene, Water (Aqua), Hydrogenated Polydecene, Ozokerite, Calcium Carbonate, Glycol Distearate, Calcium Sodium Borosilicate, Polyvinyl Butyral, Sorbitan Oleate",clean
Product 59,"Polyethylene (as a scrubbing agent), Dimethicone, Lecithin, Sodium Hyaluronate, Octocrylene, Ethylhexyl Methoxycinnamate - a chemical UV filter, Zinc Oxide - a physical (mineral) UV filter, Hydroxycitronellal, Hydrolyzed Elastin, Ferric Ferrocyanide (CI 77510), Magnesium Myristate, Polyquaternium-55, Hydrolyzed Corn Protein",toxic
Product 60,"Butyl Acetate, Aloe Barbadensis Leaf Juice, Dicaprylyl Ether, Disteardimonium Hectorite, Palmitic Acid, Trimethyl Pentanyl Diisobutyrate, Titanium Dioxide - a physical (mineral) UV filter, Hydroxypropyltrimonium Hydrolyzed Wheat Protein, Cholesterol, Polyvinylpyrrolidone (PVP), Polysorbate 80, Polyquaternium-4, Uvinul A Plus - a chemical UV filter, Benzyl Alcohol",clean
Product 61,"Isobutyl Acetate, Cetearyl Alcohol, Benzophenone-4, Sodium Chloride, Caprylic/Capric Triglyceride, Camphor, Panthenyl Ethyl Ether, Stearic Acid, Lanolin, Polybutene, Calcium Aluminum Borosilicate, Tocopherol, Lauryl PEG/PPG-18/18 Methicone, Panthenol (Provitamin B5), Aluminum Powder, Quaternium-18, Polyquaternium-37",toxic
Product 62,"Lecithin, Ethylhexyl Methoxycinnamate, Magnesium Stearate, Hyaluronic Acid, Hydrolyzed Corn Protein, Carbomer, Cocamide MEA, Aloe Barbadensis Leaf Juice, Theobroma Cacao (Cocoa) Seed Butter, PVP (Polyvinylpyrrolidone), Tin Oxide",clean
Product 63,"Tocopherol, Serine, Niacinamide (Vitamin B3), Hydrolyzed Vegetable Protein PG-Propyl Silanetriol, Cocamidopropyl Betaine, Polyvinyl Butyral, Cetyl Alcohol, Ascorbyl Palmitate (Vitamin C), Potassium Sorbate, Panthenol (Provitamin B5), Polyethylene Terephthalate",toxic
Product 64,"Hydrolyzed Keratin, Hexyl Laurate, Sodium Benzoate, Disteardimonium Hectorite, Silk Amino Acids, Red 40 Lake (CI 16035), Sodium Lauroyl Sarcosinate, Jojoba Seed Oil (Simmondsia Chinensis), PEG-100 Stearate, Tocopheryl Acetate (Vitamin E), Hydrolyzed Silk, Ascorbic Acid (Vitamin C), Sodium Laureth Sulfate, Olive Fruit Oil (Olea Europaea), Ethylhexylglycerin, Trimethylsiloxysilicate, Cetearyl Alcohol",toxic
Product 65,"Olive Fruit Oil (Olea Europaea), Hexyl Cinnamal, Butyrospermum Parkii (Shea Butter), Aloe Barbadensis Leaf Juice, Hydrolyzed Jojoba Esters, Carmine (CI 75470), Polyquaternium-4, Glycerin, Sodium Cocoyl Isethionate, Wheat Amino Acids, Methacrylate Copolymer, Caprylic/Capric Triglyceride, Tocopherol, Cocamidopropyl Betaine, Styrene/Acrylates Copolymer, Cetearyl Alcohol, Flavor",clean
Product 66,"Palmitic Acid, Carbomer, Amodimethicone, Polyquaternium-55, Ethylhexylglycerin, Panthenol (Provitamin B5), Glycol Distearate, Ozokerite, Aloe Barbadensis Leaf Juice, Styrene/Acrylates Copolymer",clean
Product 67,"Potassium Sorbate, Sodium Benzoate, Helianthus Annuus (Sunflower) Seed Oil, Ozokerite, Microcrystalline Wax, Lavandula Angustifolia (Lavender) Oil, Cyclohexasiloxane, Citric Acid, Hydroxycitronellal, Cetyl Alcohol, Red 6 Lake (CI 15850), Trimethylsiloxysilicate, Alpha-Isomethyl Ionone, Lauryl Glucoside, Behentrimonium Chloride, Propylene Glycol Dicaprylate/Dicaprate, Trideceth-6, Ascorbyl Palmitate (Vitamin C)",clean
Product 68,"Aloe Barbadensis Leaf Extract, Polybutene, Red 6 Lake (CI 15850), Lecithin, Stearic Acid, Styrene/Acrylates Copolymer, PEG-10 Dimethicone, Butylene Glycol, Cetearyl Alcohol, Caprylyl Glycol, Ammonium Lauryl Sulfate, Benzyl Benzoate, Octocrylene - a chemical UV filter, Theobroma Cacao (Cocoa) Seed Butter, Ethylhexylglycerin, Homosalate - a chemical UV filter, Trehalose, Synthetic Fluorphlogopite, PVP/VA Copolymer, Tocopheryl Acetate (Vitamin E)",toxic
Product 69,"Ethylhexyl Salicylate, Pentaerythrityl Tetra-Di-t-Butyl Hydroxyhydrocinnamate, Cinnamyl Alcohol, Dimethicone, Phenoxyethanol, Lauryl PEG/PPG-18/18 Methicone, Hydrolyzed Collagen, Octocrylene, Polysorbate 20, Mica, Limonene, Mexoryl XL - a chemical UV filter, Jojoba Oil, Beeswax (Cera Alba), Polyethylene (as a scrubbing agent), Trimethylsiloxyamodimethicone, Zinc Stearate, Titanium Dioxide - a physical (mineral) UV filter",toxic
